Quarter,Year,Spotify Monthly Active Users (million),Annotations
Q1 (Jan-Mar),2015,68,
Q1 (Jan-Mar),2016,96,
Q1 (Jan-Mar),2017,132,
Q1 (Jan-Mar),2018,157,
Q1 (Jan-Mar),2019,217,
Q1 (Jan-Mar),2020,286,
Q1 (Jan-Mar),2021,356,
Q1 (Jan-Mar),2022,422,
Q1 (Jan-Mar),2023,515,
Q2 (Apr-Jun),2015,77,
Q2 (Apr-Jun),2016,104,
Q2 (Apr-Jun),2017,138,
Q2 (Apr-Jun),2018,180,
Q2 (Apr-Jun),2019,232,
Q2 (Apr-Jun),2020,299,
Q2 (Apr-Jun),2021,365,
Q2 (Apr-Jun),2022,433,
Q2 (Apr-Jun),2023,551,
Q3 (Jul-Sep),2015,82,
Q3 (Jul-Sep),2016,113,
Q3 (Jul-Sep),2017,149,
Q3 (Jul-Sep),2018,191,
Q3 (Jul-Sep),2019,248,
Q3 (Jul-Sep),2020,320,
Q3 (Jul-Sep),2021,381,
Q3 (Jul-Sep),2022,456,
Q3 (Jul-Sep),2023,574,
Q4 (Oct-Dec),2015,91,
Q4 (Oct-Dec),2016,123,The company launched its service in over 60 new countries.
Q4 (Oct-Dec),2017,160,
Q4 (Oct-Dec),2018,207,
Q4 (Oct-Dec),2019,271,Spotify's partnership with major podcasts.
Q4 (Oct-Dec),2020,345,The COVID-19 pandemic led to an uptick in streaming services.
Q4 (Oct-Dec),2021,406,
Q4 (Oct-Dec),2022,489,
Q4 (Oct-Dec),2023,602,Spotify expanded its offerings in the audiobook market.
