Year Quarter,Spotify Monthly Active Users (million)
Q1 2015,68
Q2 2015,77
Q3 2015,82
Q4 2015,91
Q1 2016,96
Q2 2016,104
Q3 2016,113
Q4 2016,123
Q1 2017,132
Q2 2017,138
Q3 2017,149
Q4 2017,160
Q1 2018,157
Q2 2018,180
Q3 2018,191
Q4 2018,207
Q1 2019,217
Q2 2019,232
Q3 2019,248
Q4 2019,271
Q1 2020,286
Q2 2020,299
Q3 2020,320
Q4 2020,345
Q1 2021,356
Q2 2021,365
Q3 2021,381
Q4 2021,406
Q1 2022,422
Q2 2022,433
Q3 2022,456
Q4 2022,489
Q1 2023,515
Q2 2023,551
Q3 2023,574
Q4 2023,602
